record_id,dictionary,dictionary_version,dict_term,dict_term_type,dict_term_code,dict_term_id,derivation,hierarchy,is_prior_index,verbatim_text,verbatim_text_embedding,last_modified_ts,created_at_ts
01503001001,WHODrug,GLOBAL-2024,FULVESTRANT,generic name,01503001001,3111087,FULVESTRANT,"[{""atc1_code"":""L"",""atc1_term"":""ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"",""atc2_code"":""L02"",""atc2_term"":""ENDOCRINE THERAPY"",""atc3_code"":""L02B"",""atc3_term"":""HORMONE ANTAGONISTS AND RELATED AGENTS"",""atc4_code"":""L02BA"",""atc4_term"":""ANTI-ESTROGENS"",""generic_name"":""FULVESTRANT"",""generic_name_id"":""01503001001""}]",false,fulvestrant,"<1024-dim vector, populated by CDC->Lambda->Titan>",1727800322,1727800322
00109201001,WHODrug,GLOBAL-2024,IBUPROFEN,generic name,00109201001,3103345,IBUPROFEN,"[{""atc1_code"":""M"",""atc1_term"":""MUSCULO-SKELETAL SYSTEM"",""atc2_code"":""M01"",""atc2_term"":""ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS"",""atc3_code"":""M01A"",""atc3_term"":""ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"",""atc4_code"":""M01AE"",""atc4_term"":""PROPIONIC ACID DERIVATIVES"",""generic_name"":""IBUPROFEN"",""generic_name_id"":""00109201001""}]",false,ibuprofen,"<1024-dim vector, populated by CDC->Lambda->Titan>",1727800322,1727800322
00082701001,WHODrug,GLOBAL-2024,METFORMIN,generic name,00082701001,3103365,METFORMIN,"[{""atc1_code"":""A"",""atc1_term"":""ALIMENTARY TRACT AND METABOLISM"",""atc2_code"":""A10"",""atc2_term"":""DRUGS USED IN DIABETES"",""atc3_code"":""A10B"",""atc3_term"":""BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"",""atc4_code"":""A10BA"",""atc4_term"":""BIGUANIDES"",""generic_name"":""METFORMIN"",""generic_name_id"":""00082701001""}]",false,metformin,"<1024-dim vector, populated by CDC->Lambda->Titan>",1727800322,1727800322
00101801382,WHODrug,GLOBAL-2024,NEXIM,trade name,00101801382,3941840,TRANEXAMIC ACID,"[{""atc1_code"":""R"",""atc1_term"":""RESPIRATORY SYSTEM"",""atc2_code"":""R02"",""atc2_term"":""THROAT PREPARATIONS"",""atc3_code"":""R02A"",""atc3_term"":""THROAT PREPARATIONS"",""atc4_code"":""R02AX"",""atc4_term"":""OTHER THROAT PREPARATIONS"",""generic_name"":""TRANEXAMIC ACID"",""generic_name_id"":""00101801001""}]",false,nexim,"<1024-dim vector, populated by CDC->Lambda->Titan>",1727800322,1727800322
